Schulnummer,Name1,Name2,Zusatz1,Zusatz2,Zusatz3,Strasse,PLZ,Ort,SchulleiterName,SchulleiterVorname,SchulleiterTitel,SchulleiterGeschlecht,Vorwahl,Telefon,Fax,EMail,Ganztagsschule,GanztagsForm,Schulart1,Schulart2,Schulart3,Schulart4,Schulart5,Schulart6,Schulart7,Schulart8,Schulart9,Schulart10,Schulart11,Planbezirk,Schulform,Internet
819,EUMAC-European Musical Academy,,Private Berufsfachschule für,Musicaldarsteller Ltd.,,Waller Heerstr. 165,28219,Bremen,Blaeschke,Thomas,,M,0421,377-5018,377-5010,mail@eumac.info,N,,BFS2,,,,,,,,,,,Findorff / Walle,Private berufsbildende Schule,
820,Eduard-Nebelthau-Gymnasium,,,,,Lesumer Heerstr. 38,28717,Bremen,Nordhoff,Bianca,,M,0421,63819902,63819988,sekretariat@nebelthau-gymnasium.de,J,offene Ganztagsschule,GY,GO,,,,,,,,,,Burglesum,Privates Durchgängiges Gymnasium,http://www.friedehorst.de/gymnasium/
821,St.-Pius-Schule,,Grundschule in Trägerschaft der,Schulstiftung der Diözese Osnabrück,,Willakedamm 6,28259,Bremen,Kahle,Graciela,,W,0421,583877,583877,St.-Pius-Schule@kshb.de,N,,G,,,,,,,,,,,Huchting,Private Grundschule,
822,St.-Antonius-Schule,,Grundschule in Trägerschaft der,Schulstiftung der Diözese Osnabrück,,Oewerweg 40 A,28325,Bremen,Prevot,Annette,,W,0421,424299,,st.-antonius-schule@kshb.de,J,offene Ganztagsschule,G,,,,,,,,,,,Osterholz,Private Grundschule,
824,Kunstschule Wandsbek,BFS für Grafik- und Kommunikationsdesign,,,,Außer der Schleifmühle 4,28203,Bremen,Janssen,Uli,,M,0421,336-59125,,u.janssen@kunstschule-wandsbek.de,N,,BFS2,,,,,,,,,,,Mitte/östl. Vorstadt,Private berufsbildende Schule,
825,Freie Gemeinschaftsschule Bremen,,,,,Zum Sebaldsbrücker Bahnhof 59,28309,Bremen,Kumm,Gabrielle,,W,0421,699 99 96,699 99 96,info@fgs-bremen.de,N,,ObSch,,,,,,,,,,,Hemelingen,Private weiterführende Schule (GS oder IHR mit Gy),http://www.fgs-bremen.de
851,Edith-Stein-Schule,,,,,Grazer Str. 15 A,27568,Bremerhaven,Huisgen,Andreas,,M,0471,30859-40,30859-49,edith-stein-schule@katholische-schule-bremerhaven.de,N,,ObSch,Sek,,,,,,,,,,,Private weiterführende Schule (GS oder IHR mit Gy),
855,Grundschule Stella Maris,,,,,Grazer Str. 15 B,27568,Bremerhaven,Suermann,Detlef,,M,0471,30859-20,30859-29,grundschule-stella-maris@katholische-schule-bremerhaven.de,J,teilgebundene Ganztagsschule,G,,,,,,,,,,,,Private Grundschule,
881,Wirtschaft-und Sozialakademie der,Arbeitnehmerkammer Bremen Geschäftsbereich Bremerhaven,Private Berufsfachschule für Sozialassistenz,,,Hafenstr.128,27576,Bremerhaven,Kébreau,Cornelia,,W,0471,595-43/-22,595-30,d.schott@wisoak.de,N,,BFS2,,,,,,,,,,,,Private berufsbildende Schule,
900,Integratives Bildungszentrum (IBZ),am Klinikum Bremen-Ost,Ausbildungszentrum für Gesundheits-,und Pflegeberufe des Klinikums,Bremen-Nord und Bremen-Ost,Züricher Str. 40,28325,Bremen,Krol,Michael,,M,0421,408-1734,408-1985,ibz@klinikum-bremen-ost.de,N,,FS,,,,,,,,,,,Osterholz,Schule für Gesundheitsfachberufe (Klinikum),
902,Integratives Bildungszentrum (IBZ),am Klinikum Bremen-Mitte,Ausbildungsstätte für Gesundheits-,und Kinderkrankenpflege und,Gesundheits- und Krankenpflege,St.-Jürgen-Str. 1,28205,Bremen,Stellfeld-Ostendorf,Renate,,W,0421,497-5296,497-3343,ibz@klinikum-bremen-mitte.de,N,,FS,,,,,,,,,,,Mitte/östl. Vorstadt,Schule für Gesundheitsfachberufe (Klinikum),
908,Schule für technische Assistenten in der Medizin,am Klinikum Bremen-Mitte gGmbH/Radiologie,,Abt. Bremen und Bremerhaven,,St.-Jürgen-Str. 1,28205,Bremen,Finke,Peter C.,Prof. Dr.,M,0421,497-3472,497-4463,angela.freund@klinikum-bremen-mitte.de,N,,FS,,,,,,,,,,,Mitte/östl. Vorstadt,Schule für Gesundheitsfachberufe (Klinikum),
909,Bremer Heimstiftung,,Private Altenpflegeschule,,,Fedelhören 78,28203,Bremen,Dühring,Angela,,W,0421,2434-410,2434-419,bhs-altenpflege@bremer-heimstiftung.de,N,,BFS2,,,,,,,,,,,Mitte/östl. Vorstadt,Private berufsbildende Schule,
910,Friedehorst - Vereinigte Anstalten,der Inneren Mission,Private Altenpflegeschule,,,Rotdornallee 64,28717,Bremen,Cremer,Heinz,,M,0421,6381-414,6381-436,bfw.bremen-lesum@friedehorst.de,N,,BFS2,,,,,,,,,,,Burglesum,Private berufsbildende Schule,
912,Deutsche Außenhandels- und,Verkehrs-Akademie,Private Fachschule für Wirtschaft,,,Universitätsallee 18,28359,Bremen,Zink,Thomas,,M,0421,9499-1022,325456,thomas.zink@dav-akademie.de,N,,FS,,,,,,,,,,,Horn/Borgf./Oberneuland,Private berufsbildende Schule,
913,Joli Visage,Private Berufsfachschule für Kosmetik,,,,Norderoog 2,28259,Bremen,Hannemann,Michael,,M,0421,720240,7202439,info@joli-visage.de,N,,BFS2,,,,,,,,,,,Huchting,Private berufsbildende Schule,
914,Wirtschafts- und Sozialakademie der,Arbeitnehmerkammer Bremen gGmbH,Private Fachschule für Wirtschaft,,,Bertha-von-Suttner-Str. 17,28207,Bremen,Fleischer,Helga,,W,0421,4499639,4499651,h.fleischer@wisoak.de,N,,FS,,,,,,,,,,,Hemelingen,Private berufsbildende Schule,
919,Institut für Berufs- und,Sozialpädagogik e.V.,Private Altenpflegeschule,,,An der Silberpräge 5,28309,Bremen,Voigts,Maike,,W,0421,39001-25,39001-22,m.voigts@ibs-bremen.de,N,,BFS2,FS,,,,,,,,,,Hemelingen,Private berufsbildende Schule,
922,Parität. Bildungswerk Bremen e.V.,Inst.f.soz.u.interkult.Weiterbildung,Private Fachschule für,Sozialpädagogik und Heilerziehungs-,pflege,Faulenstr. 31,28195,Bremen,Felix,Frauke,,W,0421,17472-0,17472-30,info@pbwbremen.de,N,,FS,,,,,,,,,,,Mitte/östl. Vorstadt,Private berufsbildende Schule,
923,impuls e.V.,,"Private Fachschule für Gymnastik,",Tanz und Bewegungstherapie,,Fleetrade 78,28207,Bremen,Deppert,Inge,,W,0421,441999,4986048,schule@impuls-bremen.de,N,,BFS2,FS,,,,,,,,,,Hemelingen,Private berufsbildende Schule,
924,Wirtschafts- und Sozialakademie der,Arbeitnehmerkammer Bremen gGmbH,Private Altenpflegeschule,,,Dölvesstr. 8,28207,Bremen,Schnäpp,Matthias,,M,0421,4499621,4499930,m.schnaepp@wisoak.de,N,,BFS2,,,,,,,,,,,Hemelingen,Private berufsbildende Schule,
927,Bremer Krankenpflegeschule der,freigemeinnützigen Krankenhäuser eV,,,,St.-Pauli-Deich 25,28199,Bremen,Venhaus-Schreiber,Barbara,,W,0421,5599-441,5599-445,info@bremer-krankenpflegeschule.de,N,,FS,,,,,,,,,,,Neustadt,Schule für Gesundheitsfachberufe,
928,Fachschule für Ergotherapie,,,,,Rotdornallee 64,28717,Bremen,Bruns,Heike,,W,0421,696 685 02,696 685 06,bhs-ergotherapie@bremen-heimstiftung.de,N,,FS,,,,,,,,,,,Burglesum,Schule für Gesundheitsfachberufe,
949,Verwaltungsschule der,Freien Hansestadt Bremen,,,,Doventorscontrescarpe 172,28195,Bremen,Wendel,Holger,,M,0421,361-5335,361-5173,holger-andreas.wendel@afz.bremen.de,N,,BS,,,,,,,,,,,Mitte/östl. Vorstadt,Verwaltungsschule,
950,Krankenpflegeschule am,Klinikum Bremerhaven Reinkenheide,,,,Postbrookstr. 91 A,27574,Bremerhaven,Flach,Bettina,,W,0471,299-3550,299-3554,krankenpflegeschule@klinikum-bremerhaven.de,N,,FS,,,,,,,,,,,,Schule für Gesundheitsfachberufe (Klinikum),
951,Krankenpflegeschule,St.-Joseph-Hospital,,,,Wiener Str. 1,27568,Bremerhaven,Schruth,Thomas,,M,0471,4805-644,4805-113,krankenpflegeschule@josephhospital.de,N,,FS,,,,,,,,,,,,Schule für Gesundheitsfachberufe,
955,Hansa Pflegeschulen GmbH,,Private Altenpflegeschule,,,Hartwigstr. 8,27574,Bremerhaven,Timmermann,Doris,,W,0471,9212370,9212372,fachschule1.bhv@seniorenheime-hansa.de,N,,BFS2,,,,,,,,,,,,Private berufsbildende Schule,
957,AWO Pflegedienst GmbH -Ursula Kaltenstein Akademie für Gesundheit und Pflege,,Private Altenpflegeschule,,,Surfeldstr. 29,27576,Bremerhaven,Ulrich,Liane,,W,0471,9547-0,309467-19,info@awo-bremerhaven.de,N,,BFS2,,,,,,,,,,,,Private berufsbildende Schule,
